id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
256,2011,Chandigarh,21-04-2011,Kings XI Punjab,RR,RR,field,normal,0,Kings XI Punjab,48,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",S Asnani,PR Reiffel,
257,2011,Mumbai,22-04-2011,MI,CSK,CSK,field,normal,0,MI,8,0,Harbhajan Singh,Wankhede Stadium,Asad Rauf,AM Saheba,
258,2011,Kolkata,22-04-2011,KKR,RCB,RCB,field,normal,0,RCB,0,9,CH Gayle,Eden Gardens,SS Hazare,RB Tiffin,
259,2011,Delhi,23-04-2011,DC,Kings XI Punjab,Kings XI Punjab,field,normal,0,DC,29,0,DA Warner,Feroz Shah Kotla,S Asnani,RE Koertzen,
260,2011,Hyderabad,24-04-2011,MI,Deccan Chargers,Deccan Chargers,field,normal,0,MI,37,0,SL Malinga,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,AL Hill,
261,2011,Jaipur,24-04-2011,Kochi Tuskers Kerala,RR,RR,field,normal,0,RR,0,8,SK Warne,Sawai Mansingh Stadium,BR Doctrove,SK Tarapore,
262,2011,Chennai,25-04-2011,CSK,Pune Warriors,Pune Warriors,field,normal,0,CSK,25,0,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,
263,2011,Delhi,26-04-2011,DC,RCB,RCB,field,normal,0,RCB,0,3,V Kohli,Feroz Shah Kotla,S Asnani,RJ Tucker,
264,2011,Mumbai,27-04-2011,Pune Warriors,CSK,Pune Warriors,bat,normal,0,CSK,0,8,DE Bollinger,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri,
265,2011,Kochi,27-04-2011,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Deccan Chargers,55,0,I Sharma,Nehru Stadium,HDPK Dharmasena,AL Hill,
266,2011,Delhi,28-04-2011,KKR,DC,DC,field,normal,0,KKR,17,0,MK Tiwary,Feroz Shah Kotla,PR Reiffel,RJ Tucker,
267,2011,Jaipur,29-04-2011,MI,RR,RR,field,normal,0,RR,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,SK Tarapore,
268,2011,Bangalore,29-04-2011,RCB,Pune Warriors,Pune Warriors,field,normal,0,RCB,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
269,2011,Kochi,30-04-2011,DC,Kochi Tuskers Kerala,DC,bat,normal,0,DC,38,0,V Sehwag,Nehru Stadium,HDPK Dharmasena,AL Hill,
270,2011,Kolkata,30-04-2011,Kings XI Punjab,KKR,KKR,field,normal,0,KKR,0,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,
271,2011,Jaipur,01-05-2011,Pune Warriors,RR,RR,field,normal,0,RR,0,6,LRPL Taylor,Sawai Mansingh Stadium,SK Tarapore,SJA Taufel,
272,2011,Chennai,01-05-2011,CSK,Deccan Chargers,CSK,bat,normal,0,CSK,19,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",Aleem Dar,RB Tiffin,
273,2011,Mumbai,02-05-2011,MI,Kings XI Punjab,Kings XI Punjab,field,normal,0,MI,23,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,PR Reiffel,
274,2011,Delhi,02-05-2011,DC,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,7,P Parameswaran,Feroz Shah Kotla,Asad Rauf,SL Shastri,
275,2011,Hyderabad,03-05-2011,KKR,Deccan Chargers,Deccan Chargers,field,normal,0,KKR,20,0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",S Asnani,RJ Tucker,
276,2011,Chennai,04-05-2011,RR,CSK,RR,bat,normal,0,CSK,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk",SS Hazare,RB Tiffin,
277,2011,Mumbai,04-05-2011,MI,Pune Warriors,Pune Warriors,field,normal,0,MI,21,0,R Sharma,Dr DY Patil Sports Academy,HDPK Dharmasena,SJA Taufel,
278,2011,Kochi,05-05-2011,Kochi Tuskers Kerala,KKR,KKR,field,normal,0,Kochi Tuskers Kerala,17,0,BJ Hodge,Nehru Stadium,S Ravi,RJ Tucker,
279,2011,Hyderabad,05-05-2011,Deccan Chargers,DC,DC,field,normal,0,DC,0,4,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
280,2011,Bangalore,06-05-2011,RCB,Kings XI Punjab,Kings XI Punjab,field,normal,0,RCB,85,0,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,RB Tiffin,
281,2011,Kolkata,07-05-2011,CSK,KKR,CSK,bat,normal,1,KKR,10,0,Iqbal Abdulla,Eden Gardens,Asad Rauf,PR Reiffel,
282,2011,Mumbai,07-05-2011,MI,DC,DC,field,normal,0,MI,32,0,AT Rayudu,Wankhede Stadium,K Hariharan,SJA Taufel,
283,2011,Bangalore,08-05-2011,Kochi Tuskers Kerala,RCB,Kochi Tuskers Kerala,bat,normal,0,RCB,0,9,CH Gayle,M Chinnaswamy Stadium,Aleem Dar,SS Hazare,
284,2011,Chandigarh,08-05-2011,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,normal,0,Pune Warriors,0,5,R Sharma,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
285,2011,Jaipur,09-05-2011,CSK,RR,RR,field,normal,0,CSK,63,0,M Vijay,Sawai Mansingh Stadium,K Hariharan,SJA Taufel,
286,2011,Hyderabad,10-05-2011,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Pune Warriors,0,6,MR Marsh,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,
287,2011,Chandigarh,10-05-2011,Kings XI Punjab,MI,MI,field,normal,0,Kings XI Punjab,76,0,BA Bhatt,"Punjab Cricket Association Stadium, Mohali",SK Tarapore,RJ Tucker,
288,2011,Jaipur,11-05-2011,RR,RCB,RCB,field,normal,0,RCB,0,9,S Aravind,Sawai Mansingh Stadium,HDPK Dharmasena,K Hariharan,
289,2011,Chennai,12-05-2011,CSK,DC,CSK,bat,normal,0,CSK,18,0,MS Dhoni,"MA Chidambaram Stadium, Chepauk",AM Saheba,SL Shastri,
290,2011,Indore,13-05-2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,KD Karthik,Holkar Cricket Stadium,S Asnani,RJ Tucker,
291,2011,Bangalore,14-05-2011,KKR,RCB,RCB,field,normal,1,RCB,0,4,CH Gayle,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,
292,2011,Mumbai,14-05-2011,Deccan Chargers,MI,Deccan Chargers,bat,normal,0,Deccan Chargers,10,0,A Mishra,Wankhede Stadium,S Ravi,SK Tarapore,
293,2011,Dharamsala,15-05-2011,Kings XI Punjab,DC,DC,field,normal,0,Kings XI Punjab,29,0,PP Chawla,Himachal Pradesh Cricket Association Stadium,Asad Rauf,SL Shastri,
294,2011,Indore,15-05-2011,RR,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Kochi Tuskers Kerala,0,8,BJ Hodge,Holkar Cricket Stadium,PR Reiffel,RJ Tucker,
295,2011,Mumbai,16-05-2011,Pune Warriors,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,A Mishra,Dr DY Patil Sports Academy,S Ravi,SK Tarapore,
296,2011,Dharamsala,17-05-2011,Kings XI Punjab,RCB,Kings XI Punjab,bat,normal,0,Kings XI Punjab,111,0,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
297,2011,Chennai,18-05-2011,CSK,Kochi Tuskers Kerala,CSK,bat,normal,0,CSK,11,0,WP Saha,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RE Koertzen,
298,2011,Mumbai,19-05-2011,Pune Warriors,KKR,KKR,field,normal,0,KKR,0,7,YK Pathan,Dr DY Patil Sports Academy,S Ravi,SJA Taufel,
299,2011,Mumbai,20-05-2011,MI,RR,MI,bat,normal,0,RR,0,10,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel,
300,2011,Dharamsala,21-05-2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,0,Deccan Chargers,82,0,S Dhawan,Himachal Pradesh Cricket Association Stadium,Asad Rauf,AM Saheba,
301,2011,Delhi,21-05-2011,DC,Pune Warriors,DC,bat,no result,0,,0,0,,Feroz Shah Kotla,SS Hazare,RJ Tucker,
302,2011,Bangalore,22-05-2011,CSK,RCB,RCB,field,normal,0,RCB,0,8,CH Gayle,M Chinnaswamy Stadium,K Hariharan,RE Koertzen,
303,2011,Kolkata,22-05-2011,KKR,MI,MI,field,normal,0,MI,0,5,JEC Franklin,Eden Gardens,SK Tarapore,SJA Taufel,
304,2011,Mumbai,24-05-2011,RCB,CSK,CSK,field,normal,0,CSK,0,6,SK Raina,Wankhede Stadium,Asad Rauf,SJA Taufel,
305,2011,Mumbai,25-05-2011,KKR,MI,MI,field,normal,0,MI,0,4,MM Patel,Wankhede Stadium,Asad Rauf,SJA Taufel,
306,2011,Chennai,27-05-2011,RCB,MI,MI,field,normal,0,RCB,43,0,CH Gayle,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
307,2011,Chennai,28-05-2011,CSK,RCB,CSK,bat,normal,0,CSK,58,0,M Vijay,"MA Chidambaram Stadium, Chepauk",Asad Rauf,SJA Taufel,
308,2012,Chennai,04-04-2012,CSK,MI,MI,field,normal,0,MI,0,8,RE Levi,"MA Chidambaram Stadium, Chepauk",JD Cloete,SJA Taufel,
309,2012,Kolkata,05-04-2012,KKR,DC,DC,field,normal,0,DC,0,8,IK Pathan,Eden Gardens,S Asnani,HDPK Dharmasena,
310,2012,Mumbai,06-04-2012,Pune Warriors,MI,MI,field,normal,0,Pune Warriors,28,0,SPD Smith,Wankhede Stadium,AK Chaudhary,SJA Taufel,
311,2012,Jaipur,06-04-2012,RR,Kings XI Punjab,Kings XI Punjab,field,normal,0,RR,31,0,AM Rahane,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
312,2012,Bangalore,07-04-2012,RCB,DC,DC,field,normal,0,RCB,20,0,AB de Villiers,M Chinnaswamy Stadium,S Asnani,S Ravi,
313,2012,Visakhapatnam,07-04-2012,CSK,Deccan Chargers,Deccan Chargers,field,normal,0,CSK,74,0,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,JD Cloete,HDPK Dharmasena,
314,2012,Jaipur,08-04-2012,RR,KKR,KKR,field,normal,0,RR,22,0,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni,
315,2012,Pune,08-04-2012,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,normal,0,Pune Warriors,22,0,MN Samuels,Subrata Roy Sahara Stadium,S Das,SJA Taufel,
316,2012,Visakhapatnam,09-04-2012,Deccan Chargers,MI,Deccan Chargers,bat,normal,0,MI,0,5,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,AK Chaudhary,JD Cloete,
317,2012,Bangalore,10-04-2012,KKR,RCB,RCB,field,normal,0,KKR,42,0,L Balaji,M Chinnaswamy Stadium,S Ravi,RJ Tucker,
318,2012,Delhi,10-04-2012,CSK,DC,DC,field,normal,0,DC,0,8,M Morkel,Feroz Shah Kotla,Asad Rauf,SK Tarapore,
319,2012,Mumbai,11-04-2012,MI,RR,RR,field,normal,0,MI,27,0,KA Pollard,Wankhede Stadium,Aleem Dar,BNJ Oxenford,
320,2012,Chennai,12-04-2012,RCB,CSK,RCB,bat,normal,0,CSK,0,5,F du Plessis,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RJ Tucker,
321,2012,Chandigarh,12-04-2012,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,7,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali",VA Kulkarni,SK Tarapore,
322,2012,Kolkata,13-04-2012,RR,KKR,RR,bat,normal,0,KKR,0,5,Shakib Al Hasan,Eden Gardens,Asad Rauf,S Asnani,
323,2012,Delhi,19-04-2012,Deccan Chargers,DC,Deccan Chargers,bat,normal,0,DC,0,5,KP Pietersen,Feroz Shah Kotla,BF Bowden,SK Tarapore,
324,2012,Pune,14-04-2012,CSK,Pune Warriors,CSK,bat,normal,0,Pune Warriors,0,7,JD Ryder,Subrata Roy Sahara Stadium,Aleem Dar,BNJ Oxenford,
325,2012,Kolkata,15-04-2012,Kings XI Punjab,KKR,KKR,field,normal,0,Kings XI Punjab,2,0,SP Narine,Eden Gardens,Asad Rauf,S Asnani,
326,2012,Bangalore,15-04-2012,RR,RCB,RR,bat,normal,0,RR,59,0,AM Rahane,M Chinnaswamy Stadium,JD Cloete,RJ Tucker,
327,2012,Mumbai,16-04-2012,MI,DC,DC,field,normal,0,DC,0,7,S Nadeem,Wankhede Stadium,BF Bowden,SK Tarapore,
328,2012,Jaipur,17-04-2012,Deccan Chargers,RR,Deccan Chargers,bat,normal,0,RR,0,5,BJ Hodge,Sawai Mansingh Stadium,Aleem Dar,BNJ Oxenford,
329,2012,Bangalore,17-04-2012,Pune Warriors,RCB,Pune Warriors,bat,normal,0,RCB,0,6,CH Gayle,M Chinnaswamy Stadium,S Asnani,S Das,
330,2012,Chandigarh,18-04-2012,Kings XI Punjab,KKR,Kings XI Punjab,bat,normal,0,KKR,0,8,G Gambhir,"Punjab Cricket Association Stadium, Mohali",JD Cloete,RJ Tucker,
331,2012,Hyderabad,10-05-2012,Deccan Chargers,DC,Deccan Chargers,bat,normal,0,DC,0,9,DA Warner,"Rajiv Gandhi International Stadium, Uppal",JD Cloete,SJA Taufel,
332,2012,Chennai,19-04-2012,CSK,Pune Warriors,Pune Warriors,field,normal,0,CSK,13,0,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk",Asad Rauf,S Das,
333,2012,Chandigarh,20-04-2012,Kings XI Punjab,RCB,RCB,field,normal,0,RCB,0,5,CH Gayle,"Punjab Cricket Association Stadium, Mohali",S Ravi,RJ Tucker,
334,2012,Chennai,21-04-2012,RR,CSK,RR,bat,normal,0,CSK,0,7,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford,
335,2012,Delhi,21-04-2012,Pune Warriors,DC,DC,field,normal,0,Pune Warriors,20,0,SC Ganguly,Feroz Shah Kotla,Asad Rauf,S Das,
336,2012,Mumbai,22-04-2012,MI,Kings XI Punjab,MI,bat,normal,0,Kings XI Punjab,0,6,SE Marsh,Wankhede Stadium,S Ravi,RJ Tucker,
337,2012,Cuttack,22-04-2012,Deccan Chargers,KKR,KKR,field,normal,0,KKR,0,5,B Lee,Barabati Stadium,BF Bowden,SK Tarapore,
338,2012,Jaipur,23-04-2012,RCB,RR,RR,field,normal,0,RCB,46,0,AB de Villiers,Sawai Mansingh Stadium,Asad Rauf,S Asnani,
339,2012,Pune,24-04-2012,Pune Warriors,DC,Pune Warriors,bat,normal,0,DC,0,8,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
340,2012,Chandigarh,25-04-2012,Kings XI Punjab,MI,Kings XI Punjab,bat,normal,0,MI,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,BNJ Oxenford,
341,2012,Pune,26-04-2012,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Deccan Chargers,18,0,CL White,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
342,2012,Delhi,27-04-2012,DC,MI,MI,field,normal,0,DC,37,0,V Sehwag,Feroz Shah Kotla,Aleem Dar,BNJ Oxenford,
343,2012,Chennai,28-04-2012,Kings XI Punjab,CSK,Kings XI Punjab,bat,normal,0,Kings XI Punjab,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore,
344,2012,Kolkata,28-04-2012,KKR,RCB,KKR,bat,normal,0,KKR,47,0,G Gambhir,Eden Gardens,Asad Rauf,BR Doctrove,
345,2012,Delhi,29-04-2012,DC,RR,DC,bat,normal,0,DC,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,
346,2012,Mumbai,29-04-2012,Deccan Chargers,MI,MI,field,normal,0,MI,0,5,DW Steyn,Wankhede Stadium,AK Chaudhary,BNJ Oxenford,
347,2012,Chennai,30-04-2012,CSK,KKR,CSK,bat,normal,0,KKR,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk",BF Bowden,C Shamshuddin,
348,2012,Cuttack,01-05-2012,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,normal,0,Deccan Chargers,13,0,KC Sangakkara,Barabati Stadium,Aleem Dar,AK Chaudhary,
349,2012,Jaipur,01-05-2012,RR,DC,RR,bat,normal,0,DC,0,6,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,
350,2012,Bangalore,02-05-2012,RCB,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,4,Azhar Mahmood,M Chinnaswamy Stadium,BF Bowden,C Shamshuddin,
351,2012,Pune,03-05-2012,MI,Pune Warriors,MI,bat,normal,0,MI,1,0,SL Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,
352,2012,Chennai,04-05-2012,CSK,Deccan Chargers,CSK,bat,normal,0,CSK,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,BNJ Oxenford,
353,2012,Kolkata,05-05-2012,KKR,Pune Warriors,KKR,bat,normal,0,KKR,7,0,SP Narine,Eden Gardens,BF Bowden,SK Tarapore,
354,2012,Chandigarh,05-05-2012,RR,Kings XI Punjab,RR,bat,normal,0,RR,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali",JD Cloete,SJA Taufel,
355,2012,Mumbai,06-05-2012,CSK,MI,MI,field,normal,0,MI,0,2,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
356,2012,Bangalore,06-05-2012,Deccan Chargers,RCB,RCB,field,normal,0,RCB,0,5,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
357,2012,Delhi,07-05-2012,DC,KKR,DC,bat,normal,0,KKR,0,6,JH Kallis,Feroz Shah Kotla,JD Cloete,S Ravi,
358,2012,Pune,08-05-2012,Pune Warriors,RR,Pune Warriors,bat,normal,0,RR,0,7,SR Watson,Subrata Roy Sahara Stadium,Asad Rauf,BR Doctrove,
359,2012,Hyderabad,08-05-2012,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Kings XI Punjab,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,BNJ Oxenford,
360,2012,Mumbai,09-05-2012,MI,RCB,RCB,field,normal,0,RCB,0,9,CH Gayle,Wankhede Stadium,BF Bowden,VA Kulkarni,
361,2012,Jaipur,10-05-2012,RR,CSK,CSK,field,normal,0,CSK,0,4,BW Hilfenhaus,Sawai Mansingh Stadium,BNJ Oxenford,C Shamshuddin,
362,2012,Pune,11-05-2012,RCB,Pune Warriors,Pune Warriors,field,normal,0,RCB,35,0,CH Gayle,Subrata Roy Sahara Stadium,BF Bowden,SK Tarapore,
363,2012,Kolkata,12-05-2012,MI,KKR,MI,bat,normal,0,MI,27,0,RG Sharma,Eden Gardens,S Ravi,SJA Taufel,
364,2012,Chennai,12-05-2012,DC,CSK,CSK,field,normal,0,CSK,0,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",S Das,BR Doctrove,
365,2012,Jaipur,13-05-2012,RR,Pune Warriors,RR,bat,normal,0,RR,45,0,A Chandila,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
366,2012,Chandigarh,13-05-2012,Deccan Chargers,Kings XI Punjab,Deccan Chargers,bat,normal,0,Kings XI Punjab,0,4,DJ Hussey,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,BNJ Oxenford,
367,2012,Bangalore,14-05-2012,RCB,MI,MI,field,normal,0,MI,0,5,AT Rayudu,M Chinnaswamy Stadium,S Das,BR Doctrove,
368,2012,Kolkata,14-05-2012,KKR,CSK,CSK,field,normal,0,CSK,0,5,MEK Hussey,Eden Gardens,JD Cloete,SJA Taufel,
369,2012,Delhi,15-05-2012,Kings XI Punjab,DC,Kings XI Punjab,bat,normal,0,DC,0,5,UT Yadav,Feroz Shah Kotla,HDPK Dharmasena,BNJ Oxenford,
370,2012,Mumbai,16-05-2012,KKR,MI,MI,field,normal,0,KKR,32,0,SP Narine,Wankhede Stadium,S Das,BR Doctrove,
371,2012,Dharamsala,17-05-2012,CSK,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,VA Kulkarni,SK Tarapore,
372,2012,Delhi,17-05-2012,RCB,DC,DC,field,normal,0,RCB,21,0,CH Gayle,Feroz Shah Kotla,HDPK Dharmasena,C Shamshuddin,
373,2012,Hyderabad,18-05-2012,RR,Deccan Chargers,RR,bat,normal,0,Deccan Chargers,0,5,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
374,2012,Dharamsala,19-05-2012,Kings XI Punjab,DC,DC,field,normal,0,DC,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium,BF Bowden,VA Kulkarni,
375,2012,Pune,19-05-2012,KKR,Pune Warriors,KKR,bat,normal,0,KKR,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium,S Asnani,BR Doctrove,
376,2012,Hyderabad,20-05-2012,Deccan Chargers,RCB,RCB,field,normal,0,Deccan Chargers,9,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
377,2012,Jaipur,20-05-2012,RR,MI,RR,bat,normal,0,MI,0,10,DR Smith,Sawai Mansingh Stadium,HDPK Dharmasena,C Shamshuddin,
378,2012,Pune,22-05-2012,KKR,DC,KKR,bat,normal,0,KKR,18,0,YK Pathan,Subrata Roy Sahara Stadium,BR Doctrove,SJA Taufel,
